,query,text,token,frequency
0,机票,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
1,机票,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
2,机票,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
3,机票,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
4,机票,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
5,机票,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
6,机票,南航登机口升舱服务积分代付好,,"[('', 1)]"
7,机票,app订座成功值机柜台却说看到,,"[('', 1)]"
8,机票,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
9,机票,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
10,值机,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
11,值机,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
12,值机,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
13,值机,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
14,值机,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
15,值机,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
16,值机,南航登机口升舱服务积分代付好,,"[('', 1)]"
17,值机,app订座成功值机柜台却说看到,,"[('', 1)]"
18,值机,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
19,值机,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
20,摆渡,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
21,摆渡,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
22,摆渡,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
23,摆渡,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
24,摆渡,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
25,摆渡,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
26,摆渡,南航登机口升舱服务积分代付好,,"[('', 1)]"
27,摆渡,app订座成功值机柜台却说看到,,"[('', 1)]"
28,摆渡,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
29,摆渡,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
30,餐饮,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
31,餐饮,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
32,餐饮,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
33,餐饮,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
34,餐饮,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
35,餐饮,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
36,餐饮,南航登机口升舱服务积分代付好,,"[('', 1)]"
37,餐饮,app订座成功值机柜台却说看到,,"[('', 1)]"
38,餐饮,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
39,餐饮,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
40,座位,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
41,座位,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
42,座位,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
43,座位,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
44,座位,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
45,座位,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
46,座位,南航登机口升舱服务积分代付好,,"[('', 1)]"
47,座位,app订座成功值机柜台却说看到,,"[('', 1)]"
48,座位,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
49,座位,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
50,空姐,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
51,空姐,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
52,空姐,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
53,空姐,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
54,空姐,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
55,空姐,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
56,空姐,南航登机口升舱服务积分代付好,,"[('', 1)]"
57,空姐,app订座成功值机柜台却说看到,,"[('', 1)]"
58,空姐,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
59,空姐,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
60,安检,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
61,安检,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
62,安检,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
63,安检,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
64,安检,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
65,安检,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
66,安检,南航登机口升舱服务积分代付好,,"[('', 1)]"
67,安检,app订座成功值机柜台却说看到,,"[('', 1)]"
68,安检,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
69,安检,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
70,客服,客服一个小时前进两人知道夜班客服玩急事愿意半夜一两点等客服回复客服倒好玩倒想知道人问问题问小时结束客服太随意南航机制轻松,随意 南航 机制 轻松 小时 前进 两人 客服 回复 客服,"[('客服', 2), ('随意', 1), ('南航', 1), ('机制', 1), ('轻松', 1), ('小时', 1), ('前进', 1), ('两人', 1), ('回复', 1)]"
71,客服,客舱服务人员服务态度不好语气强硬延误威胁机上乘客,,"[('', 1)]"
72,客服,点击选座显示航班信息变动联系客服打客服电话永远通,客服 电话,"[('客服', 1), ('电话', 1)]"
73,客服,方便在线客服好,方便 在线 客服,"[('方便', 1), ('在线', 1), ('客服', 1)]"
74,客服,麻烦问问夜班客服干,,"[('', 1)]"
75,客服,线上客服实在太差某程知道差修改下发票抬头六天搞客服回复速度乌龟还慢需要排长时间队动动掉线最差线上客服,,"[('', 1)]"
76,客服,客服信息严重对称害顾客退票现在买投诉回复,买 投诉 回复,"[('买', 1), ('投诉', 1), ('回复', 1)]"
77,客服,价格便宜抢票客服服务到位一直机器人,价格便宜 抢票 客服 服务到位,"[('价格便宜', 1), ('抢票', 1), ('客服', 1), ('服务到位', 1)]"
78,客服,价格便宜抢票客服服务到位一直机器人,价格便宜 抢票 客服 服务到位,"[('价格便宜', 1), ('抢票', 1), ('客服', 1), ('服务到位', 1)]"
79,客服,接条附wifi环境下会员服务页面南航app问题上次拨打南航客服电话客服坚持说问题,,"[('', 1)]"
80,晚点,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
81,晚点,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
82,晚点,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
83,晚点,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
84,晚点,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
85,晚点,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
86,晚点,南航登机口升舱服务积分代付好,,"[('', 1)]"
87,晚点,app订座成功值机柜台却说看到,,"[('', 1)]"
88,晚点,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
89,晚点,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
90,贵宾,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
91,贵宾,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
92,贵宾,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
93,贵宾,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
94,贵宾,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
95,贵宾,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
96,贵宾,南航登机口升舱服务积分代付好,,"[('', 1)]"
97,贵宾,app订座成功值机柜台却说看到,,"[('', 1)]"
98,贵宾,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
99,贵宾,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
